22:13:20:290 [ALWAYS]	GUDE Logging Started
22:13:20:291 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:13:20:291 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:13:20:291 [ERROR]	Initialize resume cache pointer failure
22:13:20:291 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
22:13:20:292 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
22:13:22:257 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
22:13:22:257 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
22:13:22:257 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
22:13:22:257 [ERROR]	Initialize resume cache pointer failure
22:13:22:257 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
22:13:22:257 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
